ID,GrossSoldQuantity
1488-2019-12-2-1,1
1488-2019-12-2-2,1
1488-2019-12-3-2,1
1488-2019-12-4-1,1
1488-2019-12-4-3,1
1488-2019-12-5-1,1
1488-2019-12-6-1,1
1488-2019-12-6-2,1
1488-2019-12-9-3,1
1488-2019-12-10-1,1
1488-2019-12-14-2,1
1488-2019-12-14-3,1
1488-2019-12-16-2,1
1488-2019-12-17-2,1
1488-2019-12-18-4,1
1488-2019-12-20-2,1
1488-2019-12-20-4,1
1488-2019-12-21-2,1
1488-2019-12-23-3,1
1488-2019-12-23-4,1
1488-2019-12-26-2,1
1488-2019-12-26-3,1
1488-2019-12-27-1,1
1488-2019-12-28-2,1
1488-2019-12-30-3,1
1490-2019-12-1-1,1
1490-2019-12-1-2,1
1490-2019-12-1-3,1
1490-2019-12-1-4,1
1490-2019-12-2-1,1
1490-2019-12-2-2,1
1490-2019-12-2-3,1
1490-2019-12-2-4,1
1490-2019-12-3-2,1
1490-2019-12-3-3,1
1490-2019-12-3-4,1
1490-2019-12-4-1,1
1490-2019-12-4-2,1
1490-2019-12-4-3,1
1490-2019-12-5-1,1
1490-2019-12-5-2,1
1490-2019-12-5-3,1
1490-2019-12-5-4,1
1490-2019-12-6-1,1
1490-2019-12-6-2,1
1490-2019-12-6-3,1
1490-2019-12-6-4,1
1490-2019-12-7-1,1
1490-2019-12-7-2,1
1490-2019-12-7-3,1
1490-2019-12-7-4,1
1490-2019-12-8-1,1
1490-2019-12-8-2,1
1490-2019-12-8-3,1
1490-2019-12-8-4,1
1490-2019-12-9-1,1
1490-2019-12-9-2,1
1490-2019-12-9-3,1
1490-2019-12-9-4,1
1490-2019-12-10-2,1
1490-2019-12-10-3,1
1490-2019-12-10-4,1
1490-2019-12-11-2,1
1490-2019-12-11-3,1
1490-2019-12-11-4,1
1490-2019-12-12-1,1
1490-2019-12-12-2,1
1490-2019-12-12-3,1
1490-2019-12-12-4,1
1490-2019-12-13-1,1
1490-2019-12-13-2,1
1490-2019-12-13-3,1
1490-2019-12-13-4,1
1490-2019-12-14-1,1
1490-2019-12-14-2,1
1490-2019-12-14-3,1
1490-2019-12-14-4,1
1490-2019-12-15-1,1
1490-2019-12-15-2,1
1490-2019-12-15-3,1
1490-2019-12-15-4,1
1490-2019-12-16-1,1
1490-2019-12-16-2,1
1490-2019-12-16-3,1
1490-2019-12-16-4,1
1490-2019-12-17-1,1
1490-2019-12-17-2,1
1490-2019-12-17-3,1
1490-2019-12-17-4,1
1490-2019-12-18-1,1
1490-2019-12-18-2,1
